scientific_name,authority,category,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
Eugenia rufo-fulva,Thwaites,VU,Fuzzy (phonetic),FALSE,0.944,1,76710,Eugenia rufofulva,Thwaites,Species,Accepted,NA,595842-1,76710,0,8,1,NA
Hibiscus clayi,O.Deg &amp; I.Deg.,CR,Fuzzy (phonetic),FALSE,0.933,1,2849692,Hibiscus clayii,O.Deg. & I.Deg.,Species,Accepted,NA,560097-1,2849692,5,7,1,NA
Xylosma peltatum,(Sleumer) Lescot,CR,Fuzzy (edit distance),FALSE,0.875,2,2923365,Xylosma peltata,(Sleumer) Lescot,Species,Accepted,NA,366107-1,2923365,0,16,1,NA
Xylosma inaequinervium,Sleumer,EN,Fuzzy (edit distance),FALSE,0.909,2,2923401,Xylosma inaequinervia,Sleumer,Species,Accepted,NA,366083-1,2923401,0,7,1,NA
Xylosma pininsulare,Guillaumin,CR,Fuzzy (edit distance),FALSE,0.9,2,2923363,Xylosma pininsularis,Guillaumin,Species,Accepted,NA,366109-1,2923363,0,10,1,NA
Xylosma molestum,Sleumer,VU,Fuzzy (edit distance),FALSE,0.875,2,2923384,Xylosma molesta,Sleumer,Species,Accepted,NA,366098-1,2923384,0,7,1,NA
Xylosma serpentinum,Sleumer,VU,Fuzzy (edit distance),FALSE,0.895,2,2923252,Xylosma serpentina,Sleumer,Species,Accepted,NA,366123-1,2923252,0,7,1,NA
Xylosma tuberculatum,Sleumer,EN,Fuzzy (edit distance),FALSE,0.9,2,2923336,Xylosma tuberculata,Sleumer,Species,Accepted,NA,366137-1,2923336,0,7,1,NA
Xylosma grossecrenatum,(Sleumer) Lescot,EN,Fuzzy (edit distance),FALSE,0.909,2,2923278,Xylosma grossecrenata,(Sleumer) Lescot,Species,Accepted,NA,366075-1,2923278,0,16,1,NA
Neisosperma brevituba,(Boit.) Boit.,VU,Fuzzy (edit distance),FALSE,0.909,2,133454,Neisosperma brevitubum,(Boiteau) Boiteau,Species,Synonym,TRUE,80391-1,136698,6,6,1,NA
Semecarpus riparia,Virot,EN,Fuzzy (edit distance),FALSE,0.895,2,2479869,Semecarpus riparius,Virot,Species,Accepted,NA,71299-1,2479869,0,5,1,NA
Orophea thomsoni,Beddome,EN,Fuzzy (phonetic),FALSE,0.941,1,2391564,Orophea thomsonii,Bedd.,Species,Accepted,NA,74271-1,2391564,3,4,1,NA
Nothopegia aureo-fulva,Beddome ex Hook.f.,CR,Fuzzy (phonetic),FALSE,0.955,1,2380338,Nothopegia aureofulva,Bedd. ex Hook.f.,Species,Accepted,NA,70088-1,2380338,3,11,1,NA
Meteoromyrtus wynaadensis,(Beddome) Gamble,CR,Fuzzy (phonetic),FALSE,0.96,1,126326,Meteoromyrtus wynadensis,(Bedd.) Gamble,Species,Synonym,TRUE,598149-1,77285,3,8,1,NA
