scientific_name,authority,category,original_match_type,resolved_match_type,manually_entered_name,Notes
Actinodaphne leiantha,Hook.f.,DD,Fuzzy (edit distance),Manually matched,Actinodaphne leiophylla,NA
Angraecum edmundi,(Bosser ex Verlynde &amp; Ramandimbisoa) Hermans &amp; Verynde,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Angraecum scroticalcar,(Verlynde &amp; Ramandimbisoa) Hermans &amp; Verlynde,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Bembicia uniflora,(H.Perrier) Capuron,LC,Fuzzy (edit distance),Manually matched,Bembiciopsis uniflora,NA
Bursera zapoteca,Rzed. &amp; Medina,CR,Fuzzy (edit distance),New/undescribed species,NA,NA
Camellia dongnaiensis,Orel,CR,Fuzzy (phonetic),Manually matched,Camellia dongnaicensis,NA
Carex caespitosa,Nees,LC,Fuzzy (phonetic),Manually matched,Carex cespitosa,NA
Carex macrostyla,Lapeyr.,LC,Fuzzy (phonetic),Manually matched,Carex macrostylos,NA
Conophytum hermarium,(S.A.Hammer) S.A.Hammer,CR,Fuzzy (edit distance),Manually matched,Conophytum smorenskaduenseï¿½subsp.ï¿½hermarium,NA
Crataegus sericea,Dzekov,DD,Fuzzy (phonetic),Manually matched,Crataegus monogyna var. sericea,NA
Cyanotis namuliensis,Faden ined.,LC,Fuzzy (edit distance),New/undescribed species,NA,NA
Cybianthus pittieri,G.Agostini &amp; Pipoly,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Dalbergia benthamiana,"(Kuntze) E.V.Williams, Govaerts &amp; Vatanpar.",VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Dalbergia obcordata,"N.Wilding, Phillipson &amp; Crameri",EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros amborelloides,G.E.Schatz &amp; Lowry,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros andohahelensis,G.E.Schatz &amp; Lowry,CR,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros antsirananae,G.E.Schatz &amp; Lowry,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros arenicola,"A.G.Linan, G.E.Schatz &amp; Lowry",VU,Fuzzy (phonetic),New/undescribed species,NA,NA
Diospyros bardotiae,"H.N.Rakouth, G.E.Schatz &amp; Lowry",VU,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros beankensis,"A.G.Linan, G.E.Schatz &amp; Lowry",LC,Fuzzy (phonetic),New/undescribed species,NA,NA
Diospyros beberonnii,G.E.Schatz &amp; Lowry,EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros courrierensis,"A.G.Linan, G.E.Schatz &amp; Lowry",EN,Fuzzy (edit distance),New/undescribed species,NA,NA
Diospyros crassipedicellata,G.E.Schatz &amp; Lowry,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
