scientific_name,authority,category
Cotoneaster granatensis,Boiss.,LR/cd
Juniperus drupacea,Labill.,LC
Picea omorika,(Pancic) Purk.,EN
Prunus ramburii,Boiss.,VU
Rhamnus intermedia,Steud. &amp; Hochst.,LC
Rhamnus persicifolia,Moris,EN
Salix tarraconensis,Pau,VU
Tetraclinis articulata,(Vahl) Mast.,LC
Zelkova abelicea,(Lam.) Boiss.,EN
Abies numidica,de Lannoy ex Carrière,CR
Arbutus canariensis,Veillard ex Duhamel,NT
Arbutus pavarii,Pamp.,VU
Cupressus dupreziana,A.Camus,EN
Juniperus brevifolia,(Seub.) Antoine,VU
Juniperus cedrus,Webb &amp; Berthel.,EN
Ocotea foetens,(Aiton) Baill.,LC
Persea indica,(L.) Spreng.,LC
Picconia azorica,(Tutin) Knobl.,LC
Picconia excelsa,(Aiton) DC.,LC
Rhamnus crenulata,Aiton,LC
Rhamnus glandulosa,Aiton,LC
Rhamnus integrifolia,DC.,NT
Sideroxylon mirmulans,R.Br.,EN
Visnea mocanera,L.f.,LC
Senegalia montis-usti,(Merxm. &amp; A.Schreib.) Kyal. &amp; Boatwr.,LC
Albizia suluensis,Gerstner,EN
Atalaya capensis,R.A.Dyer,LC
Bauhinia bowkeri,Harv.,VU
Cassipourea flanaganii,(Schinz) Alston,VU
Cassipourea swaziensis,Compton,LC
Erythrophysa transvaalensis,I.Verd.,LC
Euphorbia sekukuniensis,R.A.Dyer,LR/nt
Euphorbia zoutpansbergensis,R.A.Dyer,LR/nt
Faurea macnaughtonii,E.Phillips,LC
Greyia flanaganii,Bolus,DD
Leucadendron argenteum,(L.) R.Br.,VU
Leucadendron discolor,E.Phillips &amp; Hutch.,VU
Nuxia glomerulata,(C.A.Sm.) I.Verd.,LR/nt
Ocotea kenyensis,(Chiov.) Robyns &amp; R.Wilczek,VU
Protea comptonii,Beard,VU
Protea lanceolata,E.Mey. ex Meisn.,LC
Pseudosalacia streyi,Codd,VU
Rapanea gilliana,(Sond.) Mez,VU
Raphia australis,Oberm. &amp; Strey,VU
Rhynchocalyx lawsonioides,Oliv.,VU
Scolopia oreophila,(Sleumer) Killick,DD
Sterculia alexandri,Harv.,VU
Vitellariopsis dispar,(N.E.Br.) Aubrév.,LC
Warburgia salutaris,(G.Bertol.) Chiov.,EN
Widdringtonia cedarbergensis,J.A.Marsh,CR
Cryosophila williamsii,P.H.Allen,CR
Roystonea dunlapiana,P.H.Allen,LC
Cupressus macrocarpa,Hartw. ex Gordon,VU
Juniperus bermudiana,L.,CR
Phylica polifolia,(Vahl) Pillans,CR
Nesohedyotis arborea,(Roxb.) Bremek.,CR
Asimina tetramera,Small,EN
Dirachma socotrana,Schweinf.,VU
Euphorbia wakefieldii,N.E.Br.,EN
Clianthus puniceus,(G.Don) Banks Sol. Ex Lindl.,EN
Cordeauxia edulis,Hemsley,EN
Gigasiphon macrosiphon,(Harms) Brenan,EN
Adansonia grandidieri,Baillon,EN
Adansonia suarezensis,H.Perrier,EN
